version:v1.0,,,,,,,,,,,,,,,,
Name [displayName] Required,User name [userPrincipalName] Required,Initial password [passwordProfile] Required,Block sign in (Yes/No) [accountEnabled] Required,First name [givenName],Last name [surname],Job title [jobTitle],Department [department],Usage location [usageLocation],Street address [streetAddress],State or province [state],Country or region [country],Office [physicalDeliveryOfficeName],City [city],ZIP or postal code [postalCode],Office phone [telephoneNumber],Mobile phone [mobile]
Nancy Jones,nancy.jones@busbeecorp.onmicrosoft.com,$o^$ySSsEnsG!,No,Nancy,Jones,Systems Administrator,Engineering,US,1000 Elm St,VA,United States,Branch Office,Arlington,24147,+1 540 675-8354,+1 571 897-6295
Samantha Lee,samantha.lee@busbeecorp.onmicrosoft.com,t4i84MJhT#jN!,No,Samantha,Lee,Application Support Analyst,Sales,US,100 Main St,VA,United States,Remote,Norfolk,20728,+1 540 860-2479,+1 571 829-9307
Emily Harris,emily.harris@busbeecorp.onmicrosoft.com,0RgQiQmXKGtQ!,No,Emily,Harris,Security Analyst,Support,US,300 Pine St,VA,United States,Tech Hub,Richmond,23310,+1 540 332-2388,+1 571 517-7171
Catherine Robinson,catherine.robinson@busbeecorp.onmicrosoft.com,eLzfzfON$Y*8!,No,Catherine,Robinson,Cloud Engineer,IT,US,400 Oak St,VA,United States,HQ,Norfolk,22819,+1 540 479-3039,+1 571 576-8159
Sarah Green,sarah.green@busbeecorp.onmicrosoft.com,M&l#vtvRfdkf!,No,Sarah,Green,Threat Hunter,Finance,US,400 Madison Dr,VA,United States,Security Office,Roanoke,20348,+1 540 709-9938,+1 571 496-5949
Rebecca Martinez,rebecca.martinez@busbeecorp.onmicrosoft.com,0A0#8hr%AP9^!,No,Rebecca,Martinez,Desktop Support Analyst,Human Resources,US,300 Washington Ave,VA,United States,Remote,Harrisonburg,24575,+1 540 562-5331,+1 571 824-8932
Mary Scott,mary.scott@busbeecorp.onmicrosoft.com,u089zKPKhlD&!,No,Mary,Scott,Support Engineer,Engineering,US,700 Elm St,VA,United States,Data Center,Winchester,24158,+1 540 390-5742,+1 571 238-1151
Amelia Adams,amelia.adams@busbeecorp.onmicrosoft.com,KBJexo1Vj*^3,No,Amelia,Adams,Chief Executive Officer,Executive,US,123 Main St,VA,United States,HQ,Winchester,22601,+1 571-555-6000,+1 202-555-7000
Charlotte Carter,charlotte.carter@busbeecorp.onmicrosoft.com,R0MFsrbHS67*,No,Charlotte,Carter,Chief Financial Officer,Finance,US,123 Main St,VA,United States,HQ,Winchester,22601,+1 571-555-6002,+1 202-555-7002
Daniel Diaz,daniel.diaz@busbeecorp.onmicrosoft.com,N$VS3hyT4#uf,No,Daniel,Diaz,Chief Technology Officer,Engineering,US,123 Main St,VA,United States,HQ,Winchester,22601,+1 571-555-6003,+1 202-555-7003
